0;19;0;7
7;18;0;7
15;18;0;7
34;-1;0;7
41;18;0;7
49;19;0;7
56;19;0;7
64;20;0;7
71;22;0;7
78;23;0;7
91;27;0;7
98;27;0;7
106;29;0;7
120;33;0;7
128;34;0;7
135;35;0;7
143;37;0;7
150;39;0;7
157;40;0;7
165;42;0;7
175;45;0;7
182;46;0;7
190;47;0;7
209;-1;0;7
228;-1;0;7
235;53;0;7
243;55;0;7
250;56;0;7
257;57;0;7
265;58;0;7
272;59;0;7
280;60;0;7
287;60;0;7
295;61;0;7
302;62;0;7
310;63;0;7
317;63;0;7
324;64;0;7
332;64;0;7
339;65;0;7
347;65;0;7
357;66;0;7
364;66;0;7
371;67;0;7
379;67;0;7
386;67;0;7
394;67;0;7
406;68;0;7
413;68;0;7
421;69;0;7
428;69;0;7
435;69;0;7
443;69;0;7
453;70;0;7
460;70;0;7
468;70;0;7
475;70;0;7
482;70;0;7
490;70;0;7
497;70;0;7
507;70;0;7
519;71;0;7
527;71;0;7
534;71;0;7
542;72;0;7
549;72;0;7
557;73;0;7
564;74;0;7
571;74;0;7
579;75;0;7
586;75;0;7
605;-1;0;7
624;-1;0;7
632;76;0;7
639;76;0;7
647;77;0;7
654;76;0;7
662;77;0;7
669;76;0;7
676;77;0;7
684;77;0;7
703;-1;0;7
722;-1;0;7
741;-1;0;7
749;76;0;7
756;76;0;7
766;75;0;7
773;75;0;7
783;75;0;7
791;75;0;7
798;75;0;7
808;75;0;7
815;76;0;7
