# tími; hitastig; fan_on; duty_cycle; heater_on
0.43; 31.60; 1.00; 10.00; 1.00
1.43; 31.60; 1.00; 10.00; 1.00
2.87; 32.60; 1.00; 10.00; 1.00
3.87; 32.60; 1.00; 10.00; 1.00
5.30; 33.10; 1.00; 10.00; 1.00
6.30; 33.10; 1.00; 10.00; 1.00
7.74; 33.40; 1.00; 10.00; 1.00
8.74; 33.40; 1.00; 10.00; 1.00
10.17; 33.40; 1.00; 10.00; 1.00
11.17; 33.40; 1.00; 10.00; 1.00
12.57; 33.20; 1.00; 10.00; 1.00
13.57; 33.20; 1.00; 10.00; 1.00
15.01; 33.10; 1.00; 10.00; 1.00
16.01; 33.10; 1.00; 10.00; 1.00
17.45; 32.90; 1.00; 10.00; 1.00
18.45; 32.90; 1.00; 10.00; 1.00
19.88; 32.70; 1.00; 10.00; 1.00
20.88; 32.70; 1.00; 10.00; 1.00
22.25; 32.50; 1.00; 10.00; 1.00
23.25; 32.50; 1.00; 10.00; 1.00
24.69; 32.30; 1.00; 10.00; 1.00
25.70; 32.30; 1.00; 10.00; 1.00
27.13; 32.10; 1.00; 10.00; 1.00
28.13; 32.10; 1.00; 10.00; 1.00
29.57; 31.70; 1.00; 10.00; 1.00
30.57; 31.70; 1.00; 10.00; 1.00
32.00; 31.50; 1.00; 10.00; 1.00
33.00; 31.50; 1.00; 10.00; 1.00
34.44; 31.10; 1.00; 10.00; 1.00
35.44; 31.10; 1.00; 10.00; 1.00
36.88; 30.70; 1.00; 10.00; 1.00
37.88; 30.70; 1.00; 10.00; 1.00
39.31; 30.40; 1.00; 10.00; 1.00
40.31; 30.40; 1.00; 10.00; 1.00
41.75; 30.20; 1.00; 10.00; 1.00
42.75; 30.20; 1.00; 10.00; 1.00
44.18; 30.00; 1.00; 10.00; 1.00
45.19; 30.00; 1.00; 10.00; 1.00
46.62; 29.80; 1.00; 10.00; 1.00
47.62; 29.80; 1.00; 10.00; 1.00
49.05; 29.40; 1.00; 10.00; 1.00
50.05; 29.40; 1.00; 10.00; 1.00
51.48; 29.10; 1.00; 10.00; 1.00
52.48; 29.10; 1.00; 10.00; 1.00
53.92; 28.80; 1.00; 10.00; 1.00
54.92; 28.80; 1.00; 10.00; 1.00
56.35; 28.50; 1.00; 10.00; 1.00
57.36; 28.50; 1.00; 10.00; 1.00
58.79; 28.20; 1.00; 10.00; 1.00
59.79; 28.20; 1.00; 10.00; 1.00
61.23; 28.00; 1.00; 10.00; 1.00
62.23; 28.00; 1.00; 10.00; 1.00
63.66; 27.90; 1.00; 10.00; 1.00
64.66; 27.90; 1.00; 10.00; 1.00
66.10; 27.60; 1.00; 10.00; 1.00
67.10; 27.60; 1.00; 10.00; 1.00
68.55; 27.40; 1.00; 10.00; 1.00
69.55; 27.40; 1.00; 10.00; 1.00
70.86; 27.30; 1.00; 10.00; 1.00
71.86; 27.30; 1.00; 10.00; 1.00
73.30; 27.30; 1.00; 10.00; 1.00
74.30; 27.30; 1.00; 10.00; 1.00
75.73; 27.20; 1.00; 10.00; 1.00
76.73; 27.20; 1.00; 10.00; 1.00
78.16; 27.30; 1.00; 10.00; 1.00
79.16; 27.30; 1.00; 90.00; 1.00
80.60; 27.40; 1.00; 90.00; 1.00
81.60; 27.40; 1.00; 90.00; 1.00
83.03; 27.50; 1.00; 90.00; 1.00
84.03; 27.50; 1.00; 90.00; 1.00
85.46; 27.50; 1.00; 90.00; 1.00
86.47; 27.50; 1.00; 90.00; 1.00
87.90; 27.10; 1.00; 90.00; 1.00
88.90; 27.10; 1.00; 90.00; 1.00
90.29; 26.90; 1.00; 90.00; 1.00
91.30; 26.90; 1.00; 90.00; 1.00
92.74; 26.50; 1.00; 90.00; 1.00
93.74; 26.50; 1.00; 90.00; 1.00
95.17; 26.30; 1.00; 90.00; 1.00
96.17; 26.30; 1.00; 90.00; 1.00
97.61; 26.10; 1.00; 90.00; 1.00
98.61; 26.10; 1.00; 90.00; 1.00
100.05; 25.90; 1.00; 90.00; 1.00
101.05; 25.90; 1.00; 90.00; 1.00
102.48; 25.60; 1.00; 90.00; 1.00
103.48; 25.60; 1.00; 90.00; 1.00
104.92; 25.30; 1.00; 90.00; 1.00
105.92; 25.30; 1.00; 90.00; 1.00
107.36; 24.90; 1.00; 90.00; 1.00
108.36; 24.90; 1.00; 90.00; 1.00
109.80; 24.70; 1.00; 90.00; 1.00
110.80; 24.70; 1.00; 90.00; 1.00
112.23; 24.50; 1.00; 90.00; 1.00
113.23; 24.50; 1.00; 90.00; 1.00
114.66; 24.30; 1.00; 90.00; 1.00
115.66; 24.30; 1.00; 90.00; 1.00
117.09; 24.20; 1.00; 90.00; 1.00
118.09; 24.20; 1.00; 90.00; 1.00
119.52; 24.00; 1.00; 90.00; 1.00
120.53; 24.00; 1.00; 90.00; 1.00
121.96; 23.80; 1.00; 90.00; 1.00
122.96; 23.80; 1.00; 90.00; 1.00
126.83; 23.60; 1.00; 90.00; 1.00
127.83; 23.60; 1.00; 90.00; 1.00
129.28; 23.40; 1.00; 90.00; 1.00
130.28; 23.40; 1.00; 90.00; 1.00
131.66; 23.30; 1.00; 90.00; 1.00
132.66; 23.30; 1.00; 90.00; 1.00
134.11; 23.10; 1.00; 90.00; 1.00
135.11; 23.10; 1.00; 90.00; 1.00
136.54; 23.00; 1.00; 90.00; 1.00
