# tími; hitastig; fan_on; duty_cycle; heater_on
0.43; 27.30; 1.00; 10.00; 1.00
1.43; 27.30; 1.00; 10.00; 1.00
2.87; 28.40; 1.00; 10.00; 1.00
3.87; 28.40; 1.00; 10.00; 1.00
5.30; 28.80; 1.00; 10.00; 1.00
6.30; 28.80; 1.00; 10.00; 1.00
7.73; 29.00; 1.00; 10.00; 1.00
8.73; 29.00; 1.00; 10.00; 1.00
10.17; 29.20; 1.00; 10.00; 1.00
11.17; 29.20; 1.00; 10.00; 1.00
48.85; 25.80; 1.00; 10.00; 1.00
49.85; 25.80; 1.00; 10.00; 1.00
51.28; 25.70; 1.00; 10.00; 1.00
52.28; 25.70; 1.00; 10.00; 1.00
75.57; 25.70; 1.00; 10.00; 1.00
76.57; 25.70; 1.00; 10.00; 1.00
78.00; 25.60; 1.00; 10.00; 1.00
79.01; 25.60; 1.00; 10.00; 1.00
80.44; 25.60; 1.00; 10.00; 1.00
81.44; 25.60; 1.00; 10.00; 1.00
82.88; 25.80; 1.00; 10.00; 1.00
83.88; 25.80; 1.00; 10.00; 1.00
85.32; 25.80; 1.00; 10.00; 1.00
86.32; 25.80; 1.00; 10.00; 1.00
87.76; 25.70; 1.00; 10.00; 1.00
88.76; 25.70; 1.00; 10.00; 1.00
90.20; 25.60; 1.00; 10.00; 1.00
91.20; 25.60; 1.00; 10.00; 1.00
92.64; 25.30; 1.00; 10.00; 1.00
93.64; 25.30; 1.00; 10.00; 1.00
95.08; 25.20; 1.00; 10.00; 1.00
96.08; 25.20; 1.00; 10.00; 1.00
97.52; 25.20; 1.00; 10.00; 1.00
98.52; 25.20; 1.00; 10.00; 1.00
99.95; 25.00; 1.00; 10.00; 1.00
100.95; 25.00; 1.00; 10.00; 1.00
102.38; 24.80; 1.00; 10.00; 1.00
103.38; 24.80; 1.00; 10.00; 1.00
104.82; 24.60; 1.00; 10.00; 1.00
105.82; 24.60; 1.00; 10.00; 1.00
107.25; 24.40; 1.00; 10.00; 1.00
108.25; 24.40; 1.00; 10.00; 1.00
109.69; 24.40; 1.00; 10.00; 1.00
110.69; 24.40; 1.00; 10.00; 1.00
112.12; 24.40; 1.00; 10.00; 1.00
113.12; 24.40; 1.00; 10.00; 1.00
114.55; 24.60; 1.00; 10.00; 1.00
115.56; 24.60; 1.00; 90.00; 1.00
116.92; 24.80; 1.00; 90.00; 1.00
117.92; 24.80; 1.00; 90.00; 1.00
119.36; 25.00; 1.00; 90.00; 1.00
120.36; 25.00; 1.00; 90.00; 1.00
121.79; 24.80; 1.00; 90.00; 1.00
122.79; 24.80; 1.00; 90.00; 1.00
131.45; 24.80; 1.00; 90.00; 1.00
132.45; 24.80; 1.00; 90.00; 1.00
148.30; 24.20; 1.00; 90.00; 1.00
149.30; 24.20; 1.00; 90.00; 1.00
150.73; 24.10; 1.00; 90.00; 1.00
151.73; 24.10; 1.00; 90.00; 1.00
153.16; 23.90; 1.00; 90.00; 1.00
154.16; 23.90; 1.00; 90.00; 1.00
155.59; 23.80; 1.00; 90.00; 1.00
156.59; 23.80; 1.00; 90.00; 1.00
158.02; 23.70; 1.00; 90.00; 1.00
159.03; 23.70; 1.00; 90.00; 1.00
160.46; 23.50; 1.00; 90.00; 1.00
161.46; 23.50; 1.00; 90.00; 1.00
162.89; 23.40; 1.00; 90.00; 1.00
163.89; 23.40; 1.00; 90.00; 1.00
238.19; 21.90; 1.00; 90.00; 1.00
239.20; 21.90; 1.00; 90.00; 1.00
247.91; 21.90; 1.00; 90.00; 1.00
248.91; 21.90; 1.00; 90.00; 1.00
250.34; 21.90; 1.00; 90.00; 1.00
251.35; 21.90; 1.00; 90.00; 1.00
252.78; 21.80; 1.00; 90.00; 1.00
253.78; 21.80; 1.00; 90.00; 1.00
255.21; 21.90; 1.00; 90.00; 1.00
256.21; 21.90; 1.00; 90.00; 1.00
257.64; 21.80; 1.00; 90.00; 1.00
258.64; 21.80; 1.00; 90.00; 1.00
260.08; 21.80; 1.00; 10.00; 1.00
261.08; 21.80; 1.00; 10.00; 1.00
267.38; 22.00; 1.00; 10.00; 1.00
268.38; 22.00; 1.00; 10.00; 1.00
274.67; 22.40; 1.00; 10.00; 1.00
275.68; 22.40; 1.00; 10.00; 1.00
279.55; 22.70; 1.00; 10.00; 1.00
280.55; 22.70; 1.00; 10.00; 1.00
284.41; 23.00; 1.00; 10.00; 1.00
285.41; 23.00; 1.00; 10.00; 1.00
289.27; 23.10; 1.00; 10.00; 1.00
290.28; 23.10; 1.00; 10.00; 1.00
311.14; 24.30; 1.00; 10.00; 1.00
312.14; 24.30; 1.00; 10.00; 1.00
313.57; 24.30; 1.00; 10.00; 1.00
314.57; 24.30; 1.00; 10.00; 1.00
316.00; 24.40; 1.00; 10.00; 1.00
317.00; 24.40; 1.00; 10.00; 1.00
318.43; 24.40; 1.00; 10.00; 1.00
319.43; 24.40; 1.00; 10.00; 1.00
320.86; 24.60; 1.00; 10.00; 1.00
321.86; 24.60; 1.00; 10.00; 1.00
323.29; 24.60; 1.00; 10.00; 1.00
324.29; 24.60; 1.00; 10.00; 1.00
325.73; 24.60; 1.00; 10.00; 1.00
326.73; 24.60; 1.00; 10.00; 1.00
328.16; 24.50; 1.00; 10.00; 1.00
329.16; 24.50; 1.00; 10.00; 1.00
330.59; 24.70; 1.00; 10.00; 1.00
331.59; 24.70; 1.00; 10.00; 1.00
333.03; 24.80; 1.00; 90.00; 1.00
334.03; 24.80; 1.00; 90.00; 1.00
335.46; 24.90; 1.00; 90.00; 1.00
336.46; 24.90; 1.00; 90.00; 1.00
337.89; 24.80; 1.00; 90.00; 1.00
338.89; 24.80; 1.00; 90.00; 1.00
340.28; 24.70; 1.00; 90.00; 1.00
341.28; 24.70; 1.00; 90.00; 1.00
342.73; 24.40; 1.00; 90.00; 1.00
343.74; 24.40; 1.00; 90.00; 1.00
345.17; 24.20; 1.00; 90.00; 1.00
346.17; 24.20; 1.00; 90.00; 1.00
347.61; 24.20; 1.00; 90.00; 1.00
348.61; 24.20; 1.00; 90.00; 1.00
350.04; 24.10; 1.00; 90.00; 1.00
351.04; 24.10; 1.00; 90.00; 1.00
352.48; 24.10; 1.00; 90.00; 1.00
353.48; 24.10; 1.00; 90.00; 1.00
357.34; 24.00; 1.00; 90.00; 1.00
358.34; 24.00; 1.00; 90.00; 1.00
367.06; 23.40; 1.00; 90.00; 1.00
368.06; 23.40; 1.00; 90.00; 1.00
369.49; 23.30; 1.00; 90.00; 1.00
370.49; 23.30; 1.00; 90.00; 1.00
371.93; 23.20; 1.00; 90.00; 1.00
372.93; 23.20; 1.00; 90.00; 1.00
374.36; 23.20; 1.00; 90.00; 1.00
375.37; 23.20; 1.00; 90.00; 1.00
376.80; 23.10; 1.00; 90.00; 1.00
377.80; 23.10; 1.00; 90.00; 1.00
